region,representative_location,latitude,longitude,weather_date,weather_code,temperature_max_c,temperature_min_c,temperature_mean_c,precipitation_mm,precipitation_hours,wind_speed_max_kmh,wind_gust_max_kmh,is_rain_day,is_heavy_rain_day,rain_category
"Canterbury","Christchurch",-43.5321,172.6362,2025-02-12 00:00:00.000,3,19.5,10.4,15.1,0,0,16,37.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-02-13 00:00:00.000,3,19.6,14.1,16.5,0,0,18.9,44.3,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-02-14 00:00:00.000,3,19.8,14.7,17,0,0,22.7,50.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-02-15 00:00:00.000,3,21.9,16,18.7,0,0,24.9,54,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-02-16 00:00:00.000,3,23.1,16.6,19.5,0,0,25.2,55.1,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-02-24 00:00:00.000,3,19.3,13.7,16.1,0,0,19.9,44.3,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-03-01 00:00:00.000,3,27,13.3,19.7,0,0,14,32.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-03-02 00:00:00.000,3,26.4,14.8,20.9,0,0,11.9,31.3,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-03-06 00:00:00.000,3,15.6,6.3,11.5,0,0,13.2,32,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-03-10 00:00:00.000,3,18.7,11.6,15.3,0,0,20.4,45.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-03-11 00:00:00.000,3,24,12.3,18.3,0,0,16.7,35.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-03-13 00:00:00.000,3,17.4,9.6,13,0,0,17.3,37.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-03-14 00:00:00.000,3,18.2,12.6,15.1,0,0,16,36.7,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-03-17 00:00:00.000,3,30,14.7,21.3,0,0,24.3,53.6,False,False,"Dry"
